words,links,capital_words,spam_word_count,is_spam
892,7,24,8,1
338,2,1,2,0
388,7,1,8,1
44,0,0,6,0
158,1,2,2,0
255,2,0,0,0
198,1,3,0,0
159,5,1,2,0
85,1,3,3,0
299,8,0,10,1
881,5,26,4,1
159,5,0,2,0
92,2,5,1,1
142,9,3,5,1
55,2,3,2,0
343,10,21,9,1
167,3,29,3,1
616,7,5,4,1
525,3,20,1,1
76,1,3,2,0
78,0,7,1,0
217,0,9,2,0
182,2,0,5,0
100,2,2,1,0
155,4,15,10,1
224,1,6,2,0
214,2,3,0,0
271,1,9,0,0
132,2,2,6,0
231,4,6,10,1
134,4,29,7,1
173,9,11,1,1
653,6,21,2,1
361,0,3,0,0
256,0,1,2,0
137,2,0,0,0
208,2,8,1,0
255,4,1,4,0
551,0,21,8,1
836,1,24,8,1
782,1,14,5,1
989,10,6,2,1
174,4,0,1,0
251,5,5,0,0
421,2,3,0,0
102,2,5,10,1
301,1,21,3,1
225,2,8,2,0
269,0,1,2,0
186,2,1,1,0
857,2,25,0,1
83,2,0,0,0
81,1,3,1,0
103,1,3,2,0
558,3,5,0,1
237,1,3,2,0
440,4,4,2,0
94,9,7,1,1
240,0,3,5,0
276,1,7,2,0
137,10,2,2,1
268,4,1,1,0
180,2,0,1,0
37,1,3,2,0
154,9,25,10,1
393,5,8,10,1
363,1,2,0,0
49,0,8,1,0
953,8,9,4,1
337,0,3,2,0
89,5,15,9,1
343,5,0,4,1
479,1,0,1,0
684,0,19,2,1
148,8,4,8,1
83,4,2,0,0
910,8,4,1,1
200,1,5,1,0
102,1,1,1,0
195,2,5,0,1
143,0,5,8,1
451,2,5,3,1
250,10,29,5,1
129,2,0,1,0
113,4,1,5,0
184,8,2,6,1
207,2,9,2,0
287,2,0,0,0
195,2,28,3,1
447,10,5,4,1
85,9,0,7,1
474,7,27,5,1
56,2,3,0,0
202,3,8,6,1
87,2,2,1,0
86,2,3,1,0
261,1,3,0,0
381,5,3,2,0
108,10,20,5,1
175,2,2,2,0
75,0,2,1,0
84,1,14,10,1
93,0,3,2,0
734,8,22,3,1
938,6,0,9,1
157,2,13,5,1
139,5,3,2,0
267,2,1,0,0
249,0,3,2,0
336,4,2,0,0
167,2,3,4,0
612,7,16,0,1
177,10,11,7,1
387,0,2,0,0
112,2,5,0,0
224,5,3,1,0
206,1,0,1,0
172,2,1,1,0
958,2,19,4,1
78,8,17,2,1
101,9,16,3,1
878,7,25,3,1
174,2,2,3,0
257,0,2,2,0
278,5,2,0,0
392,6,28,9,1
96,1,10,1,0
213,1,0,0,0
281,2,1,1,0
657,2,4,3,1
106,0,3,0,0
88,4,2,2,0
400,10,27,10,1
609,8,20,8,1
986,5,27,5,1
153,4,3,2,0
869,10,8,3,1
754,6,17,9,1
199,2,8,2,0
736,5,29,9,1
863,10,0,7,1
49,2,3,2,0
166,0,9,0,0
733,3,0,5,1
788,3,0,8,1
135,2,2,1,0
304,1,6,2,0
838,2,2,3,1
299,1,2,2,0
412,9,22,10,1
115,1,5,0,0
425,1,0,0,0
29,1,2,1,0
250,2,8,1,0
352,4,15,4,1
247,2,2,0,0
379,0,3,2,0
612,8,28,9,1
81,10,0,8,1
465,4,12,4,1
429,2,1,4,0
292,1,3,0,0
652,10,12,6,1
22,2,0,2,0
48,2,0,5,0
77,2,5,3,1
56,0,3,2,0
869,5,24,3,1
241,0,9,4,0
616,4,30,5,1
610,7,4,5,1
593,4,20,3,1
39,0,0,2,0
94,1,3,0,0
384,1,12,6,1
64,1,5,2,0
217,0,1,1,0
275,10,28,3,1
195,7,17,5,1
441,0,3,2,0
215,2,0,4,0
70,4,5,6,1
190,1,1,1,0
760,10,9,7,1
103,2,2,2,0
148,2,1,1,0
811,8,27,10,1
465,6,12,6,1
63,1,0,2,0
122,9,5,9,1
204,3,1,2,0
256,6,7,2,1
300,0,1,1,0
124,0,28,7,1
148,0,1,6,0
381,4,6,2,0
337,3,9,7,1
158,0,11,6,1
249,0,3,2,0
526,8,23,9,1
177,4,3,5,0
280,2,3,2,0
217,2,3,2,0
31,0,3,2,0
961,9,30,6,1
385,4,12,3,1
213,0,1,5,1
369,2,4,6,0
35,2,3,2,0
32,0,2,1,0
237,2,2,1,0
34,2,1,0,0
22,5,1,0,0
910,1,7,4,1
823,4,7,10,1
930,0,5,7,1
194,2,1,0,0
837,5,2,6,1
517,6,19,4,1
679,7,14,7,1
256,2,3,1,0
446,6,7,9,1
204,2,2,2,0
477,2,25,10,1
583,4,19,4,1
296,2,1,2,0
100,3,27,10,1
215,1,1,0,0
973,9,27,9,1
140,5,5,8,1
246,1,2,4,0
415,4,21,10,1
247,1,1,4,0
76,1,15,4,1
237,3,1,0,0
278,4,0,0,0
508,10,25,5,1
267,0,3,6,0
28,4,1,1,0
294,2,1,0,0
254,0,1,1,0
197,6,14,4,1
47,2,0,2,0
334,3,27,6,1
819,3,28,0,1
775,10,1,3,1
178,8,22,10,1
925,3,23,2,1
161,4,8,8,1
319,1,3,2,0
292,1,0,1,0
132,0,1,0,0
631,2,30,4,1
38,1,3,2,0
62,2,2,0,0
452,3,2,0,1
181,2,2,0,0
125,2,6,0,0
249,9,4,6,1
130,6,23,4,1
109,1,5,2,0
302,7,15,0,1
299,0,2,0,0
41,1,3,3,0
163,1,0,1,0
433,4,3,10,1
106,10,11,10,1
916,6,22,7,1
85,2,0,2,0
138,0,10,9,1
176,1,1,2,0
292,0,4,0,0
105,10,15,3,1
633,8,5,10,1
637,2,27,6,1
45,1,1,1,0
460,2,9,8,1
89,4,2,2,0
130,2,3,0,0
459,7,22,7,1
87,0,3,0,0
199,4,24,8,1
143,0,4,0,0
260,8,5,4,1
298,0,1,1,0
195,10,25,3,1
143,1,9,5,1
141,1,0,3,1
132,3,8,5,1
131,10,16,7,1
200,1,18,6,1
164,7,10,6,1
897,8,25,2,1
99,10,8,7,1
380,1,0,1,0
69,7,27,6,1
210,3,5,0,0
372,1,2,2,0
778,4,28,6,1
382,5,4,9,1
186,0,2,1,0
849,1,10,0,1
192,2,30,7,1
865,5,7,3,1
138,5,8,7,1
237,0,7,2,0
573,2,27,5,1
219,2,7,1,0
184,9,6,3,1
125,3,26,2,1
210,3,5,9,1
204,0,3,1,0
239,4,15,5,1
178,2,5,3,1
401,0,1,0,0
999,3,2,9,1
186,10,28,6,1
149,3,30,2,1
108,10,24,10,1
494,1,2,0,0
400,3,29,8,1
78,2,0,2,0
575,5,29,3,1
533,4,5,5,1
221,1,4,1,0
473,4,12,9,1
119,0,3,1,0
873,2,16,7,1
127,5,23,10,1
489,1,4,5,1
295,0,3,1,0
113,6,18,3,1
967,9,19,9,1
336,3,27,0,1
174,1,2,3,0
298,0,2,0,0
199,2,2,0,0
534,1,29,3,1
927,8,9,9,1
134,9,2,8,1
378,2,2,1,0
127,2,15,7,1
26,1,2,3,0
207,0,8,1,0
705,9,23,9,1
123,3,2,2,0
206,0,2,2,0
295,2,2,1,0
276,8,14,6,1
240,5,19,9,1
264,0,0,2,0
209,0,2,1,0
211,1,2,0,0
253,1,0,2,0
62,2,27,8,1
453,1,7,0,1
239,2,0,0,0
199,7,5,4,1
293,2,0,1,0
162,4,2,5,0
860,5,16,6,1
271,2,4,0,0
665,9,15,8,1
431,1,1,2,0
503,5,20,6,1
288,3,1,1,0
898,10,25,3,1
223,0,0,2,0
21,0,6,1,0
839,6,0,8,1
723,2,3,5,1
122,2,2,2,0
641,1,8,7,1
64,5,9,2,1
723,8,30,6,1
182,9,27,0,1
961,7,1,4,1
189,2,3,1,0
425,3,13,5,1
530,10,11,9,1
118,8,3,0,1
722,10,17,1,1
530,10,21,7,1
125,1,1,0,0
804,10,15,3,1
183,3,30,0,1
242,0,3,0,0
42,2,3,2,0
793,4,1,2,1
202,0,3,2,0
183,0,2,0,0
714,2,16,9,1
718,2,4,8,1
160,1,3,0,0
66,1,10,2,0
97,7,4,6,1
192,1,9,2,0
662,5,6,7,1
64,9,21,5,1
992,2,7,1,1
366,2,3,0,0
153,2,3,1,0
87,0,3,2,0
81,5,23,3,1
207,2,2,2,0
135,3,23,9,1
287,2,4,0,0
102,1,2,0,0
313,10,28,10,1
194,1,4,5,0
994,2,10,6,1
428,9,5,2,1
900,9,6,6,1
85,8,4,9,1
754,2,12,5,1
160,0,3,2,0
402,1,1,1,0
663,6,22,9,1
250,2,0,1,0
633,2,19,8,1
181,7,30,6,1
186,8,1,7,1
295,2,1,3,0
830,5,29,5,1
184,0,1,3,0
212,0,4,0,0
138,7,28,4,1
269,4,1,2,0
231,1,3,6,0
777,3,28,3,1
657,1,17,3,1
283,8,30,1,1
157,3,15,3,1
41,0,3,2,0
755,10,26,5,1
858,7,20,1,1
105,7,21,3,1
25,0,2,0,0
206,1,1,2,0
151,10,8,1,1
680,4,8,0,1
213,0,4,0,0
127,0,0,2,0
656,6,27,3,1
133,3,20,1,1
617,2,14,6,1
162,5,5,9,1
149,6,5,0,1
646,4,25,9,1
53,2,2,2,0
292,0,0,5,0
168,3,6,0,1
524,2,11,4,1
63,2,3,2,0
228,0,1,2,0
347,9,8,0,1
200,0,0,2,0
93,0,0,4,0
142,4,0,0,0
193,2,0,8,1
798,5,12,7,1
106,2,5,10,1
895,5,21,4,1
294,0,2,5,0
183,4,2,3,0
171,1,1,1,0
212,0,3,3,0
375,3,3,3,1
233,0,3,2,0
21,2,1,1,0
351,1,0,0,0
630,6,22,4,1
82,5,21,0,1
640,4,2,0,1
82,10,8,0,1
183,2,0,5,0
97,0,0,0,0
240,1,1,1,0
718,5,11,9,1
827,1,26,10,1
754,9,24,4,1
842,2,23,0,1
928,6,10,9,1
958,8,11,2,1
198,2,0,0,0
442,4,2,10,1
147,4,2,4,1
219,0,0,2,0
163,0,7,1,0
177,0,1,1,0
55,3,26,7,1
803,0,16,5,1
174,0,2,1,0
559,5,28,9,1
355,5,13,4,1
130,8,18,8,1
825,6,21,8,1
954,9,8,6,1
216,0,6,6,0
443,0,3,1,0
125,2,3,6,0
818,6,7,0,1
574,7,0,10,1
178,0,9,3,0
77,5,27,6,1
793,3,20,3,1
392,0,19,1,1
932,6,7,5,1
21,0,1,1,0
161,9,17,9,1
468,1,4,1,0
198,2,2,0,0
179,0,2,0,0
309,0,26,8,1
223,2,1,2,0
157,2,0,2,0
83,5,1,2,0
91,2,2,2,0
187,4,18,3,1
591,1,18,9,1
990,3,6,5,1
193,2,3,1,0
593,8,15,3,1
108,0,0,9,1
67,2,0,0,0
648,7,21,4,1
77,7,4,1,1
215,5,2,5,0
85,0,2,1,0
918,6,1,5,1
186,2,5,6,1
129,3,14,3,1
247,1,3,0,0
242,1,1,3,0
57,2,0,4,0
204,2,3,0,0
268,2,1,1,0
349,3,6,10,1
49,2,3,2,0
187,2,3,0,0
121,5,3,0,0
36,0,3,2,0
157,2,16,10,1
458,5,22,9,1
121,0,9,6,0
296,10,0,10,1
159,2,2,1,0
380,4,4,7,1
543,5,2,5,1
516,9,2,4,1
402,2,3,2,0
147,4,6,3,1
80,2,3,0,0
156,2,11,10,1
259,3,3,2,0
176,0,1,1,0
149,1,0,1,0
294,5,2,1,0
184,2,3,1,0
257,1,10,1,0
425,1,2,0,0
388,7,24,2,1
529,5,9,7,1
40,4,3,0,0
138,0,0,2,0
363,5,11,5,1
26,2,1,1,0
238,2,2,5,0
417,4,4,8,1
109,2,1,2,0
426,0,2,1,0
74,1,0,2,0
47,2,0,2,0
824,2,20,4,1
25,2,0,2,0
546,0,22,7,1
71,5,2,1,0
889,2,24,10,1
200,0,6,10,1
269,2,3,2,0
91,3,0,5,0
261,1,4,1,0
261,2,0,2,0
237,1,0,1,0
436,10,10,1,1
927,1,21,5,1
198,3,3,2,0
121,3,3,5,1
487,5,6,3,1
284,9,26,0,1
183,0,2,0,0
187,0,2,2,0
442,1,3,1,0
438,7,5,6,1
51,7,9,9,1
249,7,6,3,1
638,10,20,2,1
100,0,2,6,0
979,5,1,7,1
238,1,0,0,0
252,1,2,2,0
62,0,3,3,0
170,10,26,6,1
991,5,26,3,1
171,6,14,10,1
93,2,1,2,0
323,3,25,3,1
133,2,0,0,0
482,6,10,4,1
395,1,3,4,0
333,10,7,10,1
123,7,3,3,1
596,2,6,2,1
816,7,20,10,1
451,2,19,3,1
130,2,1,6,0
171,0,3,1,0
259,10,20,7,1
68,1,1,1,0
256,4,3,8,1
51,2,1,0,0
629,7,29,10,1
488,8,20,1,1
296,1,0,1,0
90,2,1,1,0
169,0,2,1,0
728,6,5,9,1
270,1,2,0,0
92,1,2,0,0
799,7,28,5,1
28,0,0,2,0
376,0,7,5,1
67,1,3,1,0
127,9,2,7,1
888,8,5,6,1
89,2,3,1,0
142,5,4,10,1
288,5,3,0,0
741,2,21,8,1
41,2,0,2,0
324,1,10,3,1
148,2,3,2,0
396,4,16,4,1
266,0,0,3,0
97,2,3,0,0
52,0,2,2,0
92,3,29,10,1
278,4,1,3,0
152,5,0,1,0
109,2,17,6,1
46,2,1,0,0
146,0,1,2,0
300,1,3,0,0
393,5,1,1,0
232,2,30,6,1
318,3,2,7,1
275,0,1,3,0
297,0,2,2,0
959,3,28,4,1
253,2,0,1,0
200,2,6,0,0
142,2,10,3,1
507,0,21,8,1
185,5,3,2,0
715,6,26,5,1
50,0,1,2,0
155,2,1,1,0
714,3,5,4,1
871,8,6,6,1
238,0,10,0,0
744,10,3,7,1
185,2,21,6,1
79,1,3,3,0
140,1,5,4,0
286,0,9,1,0
664,10,6,7,1
78,5,19,3,1
640,2,29,7,1
207,7,25,8,1
131,5,10,2,1
867,8,26,10,1
688,7,29,3,1
265,0,4,3,0
389,1,27,2,1
290,1,0,0,0
181,8,6,6,1
759,2,1,2,1
497,6,2,4,1
143,2,1,1,0
452,6,12,6,1
278,2,7,7,1
92,0,4,5,1
611,4,22,4,1
286,2,1,2,0
88,9,27,6,1
559,10,21,10,1
498,10,17,7,1
224,1,0,2,0
154,2,3,5,0
639,3,17,3,1
163,2,25,3,1
765,6,9,7,1
256,2,3,2,0
165,1,1,1,0
159,2,1,2,0
699,4,11,10,1
871,3,10,8,1
68,8,2,8,1
269,3,0,2,0
244,0,1,1,0
195,3,12,9,1
252,0,2,4,0
217,0,0,1,0
672,5,13,10,1
235,1,0,1,0
65,3,2,1,0
198,2,9,2,0
129,0,3,6,0
156,1,3,2,0
29,1,1,1,0
866,3,15,3,1
96,7,5,10,1
55,0,6,2,0
430,7,5,9,1
123,9,2,3,1
695,8,5,3,1
82,0,2,1,0
71,1,2,2,0
43,0,1,1,0
95,2,3,0,0
647,2,11,1,1
210,10,21,4,1
879,0,12,1,1
696,4,3,3,1
35,0,1,0,0
159,4,3,0,0
130,1,2,2,0
768,5,18,3,1
396,1,15,0,1
295,2,1,1,0
498,7,10,5,1
637,3,30,1,1
210,2,6,3,1
481,7,6,4,1
377,2,0,2,0
130,0,0,0,0
132,3,9,9,1
233,1,0,1,0
413,1,6,1,0
720,5,12,2,1
415,6,29,6,1
111,2,0,2,0
194,2,3,3,0
54,2,0,0,0
188,2,9,3,0
882,9,23,2,1
127,0,3,6,0
412,6,6,4,1
806,7,19,3,1
490,0,1,6,0
240,8,0,9,1
244,2,0,6,0
58,2,1,0,0
679,10,7,6,1
565,6,7,7,1
515,3,9,1,1
610,4,25,3,1
532,7,25,4,1
236,2,1,2,0
343,4,13,7,1
20,1,2,2,0
577,6,1,5,1
245,0,0,0,0
909,7,5,2,1
193,10,7,4,1
790,9,13,1,1
239,1,0,3,0
166,2,0,1,0
293,2,6,0,0
33,2,0,5,0
523,10,19,10,1
750,6,21,2,1
177,2,3,0,0
269,1,3,3,0
118,9,13,10,1
33,1,2,2,0
211,1,2,4,0
265,3,3,2,0
170,10,2,6,1
69,3,29,3,1
138,6,26,0,1
193,1,1,1,0
470,3,5,5,1
191,6,10,9,1
27,4,2,4,0
194,0,3,1,0
870,7,1,10,1
74,0,2,0,0
72,9,25,3,1
185,1,0,7,1
502,6,4,5,1
302,0,11,7,1
732,10,18,8,1
169,0,2,3,0
141,2,3,0,0
891,9,28,0,1
321,9,11,6,1
180,1,4,1,0
452,5,24,3,1
45,0,0,5,0
971,10,19,4,1
144,5,29,6,1
795,4,9,6,1
144,2,3,1,0
224,2,3,2,0
162,4,25,6,1
161,5,5,0,0
613,6,5,9,1
870,3,20,3,1
245,1,5,5,1
376,2,26,7,1
569,7,10,5,1
83,2,23,3,1
203,2,3,1,0
211,10,8,5,1
688,9,28,9,1
61,0,10,3,0
306,2,7,0,0
291,3,0,6,0
60,1,3,0,0
35,2,0,2,0
71,6,14,5,1
577,9,11,8,1
196,4,2,3,0
888,2,4,3,1
214,0,3,1,0
99,4,2,0,0
683,5,0,2,1
431,6,20,10,1
299,5,27,10,1
134,4,3,1,0
160,3,2,9,1
569,3,1,8,1
161,3,3,0,0
141,7,19,3,1
178,2,0,2,0
79,4,0,2,0
924,8,15,10,1
451,1,2,1,0
297,2,1,2,0
110,3,0,2,0
206,0,2,0,0
93,9,22,1,1
247,5,2,1,0
678,9,14,8,1
464,5,0,2,0
980,2,9,9,1
317,0,5,0,0
80,2,3,0,0
510,2,27,3,1
150,0,1,1,0
289,0,1,1,0
784,9,6,3,1
356,10,3,9,1
262,2,3,2,0
45,1,2,1,0
668,8,5,3,1
184,2,0,0,0
173,2,18,6,1
131,7,20,10,1
842,2,16,4,1
168,2,1,2,0
89,2,1,0,0
623,8,10,2,1
879,5,7,8,1
247,2,4,1,0
269,1,8,0,0
322,9,22,9,1
170,6,6,8,1
117,7,9,10,1
170,5,1,0,0
92,3,17,5,1
488,2,0,1,0
38,2,0,6,0
414,4,13,10,1
61,3,0,6,1
173,10,22,8,1
180,2,5,8,1
432,9,29,10,1
244,2,1,2,0
52,2,0,1,0
832,8,2,10,1
415,2,3,1,0
383,1,1,0,0
283,0,0,1,0
164,9,25,6,1
142,3,26,9,1
198,6,19,1,1
107,2,2,6,0
61,1,2,1,0
65,0,4,2,0
151,2,3,6,0
133,0,1,1,0
649,6,2,0,1
184,2,4,1,0
231,3,9,9,1
212,3,7,0,0
239,2,7,2,0
272,1,2,1,0
260,2,2,0,0
193,2,0,0,0
29,1,3,2,0
94,0,0,0,0
300,10,30,7,1
328,10,1,4,1
273,1,0,2,0
214,2,21,10,1
278,2,3,1,0
88,7,24,7,1
249,1,3,1,0
114,8,6,9,1
505,10,3,6,1
432,0,2,0,0
358,0,21,6,1
73,0,0,0,0
156,3,9,5,1
242,1,0,0,0
142,0,0,2,0
66,0,0,2,0
997,6,6,7,1
56,0,0,5,0
165,0,1,1,0
696,6,28,8,1
872,7,1,10,1
905,4,5,8,1
76,2,2,2,0
46,2,0,0,0
937,3,20,4,1
74,2,3,0,0
988,8,16,2,1
725,8,3,9,1
176,2,1,2,0
234,2,2,1,0
233,1,0,1,0
71,0,0,2,0
297,2,13,7,1
215,1,1,0,0
193,0,0,2,0
780,3,7,8,1
200,1,1,1,0
495,5,1,5,0
38,1,3,2,0
57,7,5,1,1
183,5,24,9,1
36,2,1,3,0
82,0,24,6,1
101,0,9,2,0
710,2,6,7,1
487,2,0,0,0
161,8,26,9,1
180,5,10,0,0
302,2,2,2,0
101,4,0,5,1
77,5,2,1,0
890,10,28,8,1
196,1,2,6,0
528,9,16,9,1
858,6,1,4,1
72,2,19,4,1
248,0,5,4,0
468,0,0,0,0
993,3,29,3,1
287,1,8,2,0
459,2,0,1,0
236,0,1,3,0
24,4,0,5,0
73,1,3,1,0
125,5,28,5,1
401,4,20,7,1
44,2,2,0,0
151,0,4,2,0
272,5,20,5,1
67,4,7,2,0
159,1,1,1,0
813,9,11,0,1
371,4,7,6,1
419,2,10,3,1
85,9,7,3,1
205,2,1,2,0
54,1,1,6,0
283,2,0,1,0
757,7,19,6,1
996,8,7,7,1
189,2,3,2,0
346,1,4,5,0
345,3,3,1,0
120,1,3,0,0
59,2,13,9,1
419,1,2,0,0
53,2,16,6,1
318,7,26,5,1
274,1,3,1,0
188,1,7,0,0
694,5,24,4,1
121,10,23,7,1
96,2,0,5,0
336,3,3,4,0
283,1,1,1,0
220,2,1,1,0
143,5,26,4,1
163,5,0,1,0
182,2,0,2,0
988,3,14,4,1
638,5,22,3,1
251,3,4,2,0
130,1,2,5,0
68,1,1,2,0
775,5,12,2,1
712,7,23,10,1
282,4,26,6,1
162,2,1,1,0
568,4,17,10,1
296,2,1,1,0
166,0,22,7,1
745,2,10,8,1
595,3,30,6,1
244,2,2,4,0
60,1,0,0,0
225,0,3,6,0
88,2,27,7,1
157,2,0,0,0
215,0,0,0,0
802,10,30,8,1
356,10,17,4,1
164,2,26,10,1
408,2,21,0,1
334,5,5,9,1
168,4,2,1,0
223,7,21,3,1
174,4,14,8,1
314,6,26,10,1
295,2,23,4,1
300,2,1,4,0
200,5,3,2,0
217,1,2,1,0
756,3,28,9,1
208,1,5,2,0
127,6,28,10,1
579,9,17,7,1
112,2,6,0,0
926,0,20,8,1
85,6,4,3,1
496,4,4,0,1
50,0,3,4,1
452,10,3,4,1
547,3,2,3,1
152,3,20,2,1
824,1,0,8,1
274,0,0,1,0
420,2,20,5,1
65,3,2,7,1
45,2,1,5,0
719,4,5,5,1
157,0,23,8,1
106,1,0,0,0
83,8,14,8,1
171,3,15,6,1
82,5,2,2,0
217,1,1,2,0
107,2,0,2,0
429,2,2,1,0
331,2,2,4,0
238,2,2,1,0
858,10,30,6,1
430,8,16,3,1
309,3,3,10,1
535,3,11,3,1
